imgs,k2,k3,k4,k5,k6,k7,k8,caption,palette
171603160_2825665657650708_6781039909017234306_n.jpg,1,1,1,1,1,1,1,Chrome Hearts,"[[0.06545558571815491, 0.07212212681770325, 0.11659032106399536], [0.9991006851196289, 0.9988893866539001, 0.9991623163223267], [0.5672143697738647, 0.4538037180900574, 0.35217925906181335], [0.12123134732246399, 0.1233888566493988, 0.16627782583236694], [0.7458603978157043, 0.7387245893478394, 0.7590919733047485]]"
171901535_2301148693350708_2942899573153834790_n.jpg,2,2,2,2,2,2,2,@s_prjct,"[[0.9981638193130493, 0.995895266532898, 0.994192361831665], [0.33927714824676514, 0.25800183415412903, 0.3012229800224304], [0.8699830770492554, 0.7901656627655029, 0.7352967858314514], [0.21376082301139832, 0.14703449606895447, 0.1851702630519867], [0.5288985371589661, 0.4298458695411682, 0.4553411602973938]]"
172634454_548404269474956_7872599344160971204_n.jpg,1,3,3,3,3,3,3,@aforsakenyouth hoodie,"[[0.9948379993438721, 0.994715690612793, 0.9946389198303223], [0.1672060191631317, 0.167373925447464, 0.16823628544807434], [0.057457685470581055, 0.062268733978271484, 0.06678003072738647], [0.43813303112983704, 0.4377034902572632, 0.4339175820350647], [0.2824629843235016, 0.28253450989723206, 0.2824591398239136]]"
170149535_2523382664623557_818638574137445448_n.jpg,2,2,2,2,2,4,4,@banknotesmrkt hoodie,"[[0.9992712736129761, 0.9987707734107971, 0.998947024345398], [0.06866446137428284, 0.06838428974151611, 0.0686197578907013], [0.7637519836425781, 0.10575348138809204, 0.2267046719789505], [0.42765915393829346, 0.40942105650901794, 0.41397824883461], [0.7824523448944092, 0.6969894170761108, 0.7193612456321716]]"
170535478_940324593437137_4917795541941923293_n.jpg,1,1,1,4,4,5,5,@8mc.jp,"[[0.5751084685325623, 0.6553136110305786, 0.6734186410903931], [0.9946771860122681, 0.9952247738838196, 0.9954198598861694], [0.08361589908599854, 0.10922670364379883, 0.12150627374649048], [0.6581109166145325, 0.7444114089012146, 0.7905653715133667], [0.05522119998931885, 0.5031783580780029, 0.8477380275726318]]"
170157201_451004489343720_3074645445872351494_n.jpg,1,1,1,1,1,1,1,@1ostfuture,"[[0.9963865280151367, 0.9963687658309937, 0.9964110851287842], [0.08497411012649536, 0.08466649055480957, 0.08506467938423157], [0.5106542706489563, 0.48207902908325195, 0.40290752053260803], [0.7609111666679382, 0.7506471872329712, 0.7590512037277222], [0.20682936906814575, 0.18977147340774536, 0.26011407375335693]]"
170551604_1696648443848425_335127988124141381_n.jpg,1,1,1,1,1,1,1,@roughcutofficial,"[[0.8980459570884705, 0.7280830144882202, 0.5302462577819824], [0.40451326966285706, 0.34173354506492615, 0.24906378984451294], [0.9925047159194946, 0.9922667741775513, 0.9922245144844055], [0.2512093186378479, 0.20939385890960693, 0.16376227140426636], [0.619095504283905, 0.5166666507720947, 0.34394046664237976]]"
170166012_1785438234950973_3724918051027427610_n.jpg,1,1,1,4,4,5,5,#prada,"[[0.4573729932308197, 0.5892161726951599, 0.316398561000824], [0.9932044148445129, 0.9932776689529419, 0.9926353096961975], [0.11439821124076843, 0.1316535770893097, 0.13455525040626526], [0.9329205751419067, 0.8594972491264343, 0.30238062143325806], [0.2435225248336792, 0.49765169620513916, 0.41269123554229736]]"
172349610_3542337945871746_8449317328378828127_n.jpg,1,3,4,5,5,6,6,@pablostufff,"[[0.9968071579933167, 0.9980326890945435, 0.9990311861038208], [0.4913758337497711, 0.5340129137039185, 0.5967926979064941], [0.668073832988739, 0.7073726058006287, 0.7593753337860107], [0.30081188678741455, 0.3385906219482422, 0.3980143666267395], [0.8076581954956055, 0.8474215269088745, 0.8939816355705261]]"
170084625_458527608791055_3916199212695575587_n.jpg,1,3,3,3,3,3,3,@minto._online,"[[0.06939786672592163, 0.06865626573562622, 0.0697137713432312], [0.9988542795181274, 0.9988856315612793, 0.9988894462585449], [0.7070164680480957, 0.6983851194381714, 0.6975507140159607], [0.40073299407958984, 0.38325220346450806, 0.3778730034828186], [0.11632567644119263, 0.11219221353530884, 0.11434125900268555]]"
